Rating,URL,Ratings,Name,Latitude,Longitude,Address,LatLon 1,LatLon 2
4,http://m.yelp.com/biz/get-bbul-los-angeles,26,Get Bbul,34.0531054734405,-118.305857055062,3189 1/2 W Olympic Blvd Los Angeles  CA 90006,34.0526251,-118.3059761
4,http://m.yelp.com/biz/hwang-hae-do-korean-bbq-los-angeles,78,Hwang Hae Do Korean BBQ,34.0798651388169,-118.309512317999,429 N Western Ave Larchmont Los Angeles,34.0785555,-118.3236501
4,http://m.yelp.com/biz/alibi-room-los-angeles-2,1060,Alibi Room,NA,NA,12236 W Washington Blvd Los Angeles  CA 90066,33.9969754,-118.426606
4,http://m.yelp.com/biz/gushi-los-angeles,670,Gushi,34.062301687413,-118.44798487714999,978 Gayley Ave Los Angeles  CA 90024,34.06227790000001,-118.4478939
4,http://m.yelp.com/biz/hong-kong-banjum-los-angeles,33,Hong Kong Banjum,NA,NA,4317 Beverly Blvd Los Angeles  CA 90004,34.0765141,-118.3032819
4,http://m.yelp.com/biz/soot-bull-jeep-los-angeles,666,Soot Bull Jeep,NA,NA,3136 W 8th St Los Angeles  CA 90005,34.0575623,-118.295722
4,http://m.yelp.com/biz/sun-nong-dan-los-angeles,36,Sun Nong Dan,34.0630836857803,-118.297481238021,3470 W 6th St Koreatown Los Angeles,34.0632983,-118.2975105
4,http://m.yelp.com/biz/skd-tofu-house-los-angeles-3,25,SKD Tofu House,34.0451124,-118.238502,333 S Alameda St Los Angeles  CA 90013,34.0451298,-118.2384476
4,http://m.yelp.com/biz/lettuce-go-arcadia-2,52,Lettuce Go,NA,NA,400 S Baldwin Ave Arcadia  CA 91007,34.13495109999999,-118.0486188
4.5,http://m.yelp.com/biz/han-mi-jung-los-angeles,10,Han Mi Jung,NA,NA,4100 W Pico Blvd Los Angeles  CA 90019,34.0475141,-118.3250878
3.5,http://m.yelp.com/biz/i-love-tofu-and-bbq-glendale,148,I Love Tofu & BBQ,NA,NA,126 N Brand Blvd Glendale  CA 91203,34.1472776,-118.2546498
4,http://m.yelp.com/biz/young-dong-tofu-restaurant-arcadia,430,Young-Dong Tofu Restaurant,NA,NA,1311 S Baldwin Ave Arcadia  CA 91006,34.154567,-118.053601
4.5,http://m.yelp.com/biz/mae-shil-tang-shabu-shabu-los-angeles,87,Mae Shil Tang Shabu Shabu,34.0687677003186,-118.309480324388,301 S Western Ave Los Angeles  CA 90020,34.0686154,-118.3096483
4,http://m.yelp.com/biz/myung-dong-noodle-house-los-angeles,58,Myung Dong Noodle House,NA,NA,698 Irolo St Koreatown Los Angeles,34.060178,-118.3004703
3.5,http://m.yelp.com/biz/young-dong-tofu-san-gabriel-2,468,Young Dong Tofu,NA,NA,927 E Las Tunas Dr San Gabriel  CA 91776,34.1037359,-118.0875785
3.5,http://m.yelp.com/biz/moms-house-los-angeles,60,Mom's House,NA,NA,3126 W 8th St Los Angeles  CA 90012,34.0577189,-118.2952879
4,http://m.yelp.com/biz/mapo-galbi-los-angeles,133,Mapo Galbi,NA,NA,3090 W Olympic Blvd Los Angeles  CA 90006,34.0524116,-118.3026405
3.5,http://m.yelp.com/biz/bontobagi-glendale,49,Bontobagi,NA,NA,831 N Pacific Ave Glendale  CA 91203,34.1585279,-118.264858
4,http://m.yelp.com/biz/red-pepper-korean-restaurant-los-angeles,14,Red Pepper Korean Restaurant,NA,NA,3012 Wilshire Blvd Los Angeles  CA 90010,34.0618169,-118.28699
4.5,http://m.yelp.com/biz/raku-raku-gardena-2,52,Raku Raku,33.9026374816895,-118.31819152832,,33.9026374816895,-118.31819152832
4,http://m.yelp.com/biz/gwang-yang-korean-bbq-los-angeles-2,35,Gwang Yang Korean BBQ,34.061762,-118.2987515,3435 Wilshire Blvd Koreatown Los Angeles,34.0617611,-118.2990264
4,http://m.yelp.com/biz/tofu-village-gardena-2,186,Tofu Village,NA,NA,,,
3.5,http://m.yelp.com/biz/insadong-galbi-noodle-los-angeles,33,Insadong Galbi Noodle,34.063843,-118.2959288,3407 W 6th St Koreatown Los Angeles,34.0638434,-118.2959176
4.5,http://m.yelp.com/biz/the-real-3rd-street-chicken-house-los-angeles,13,The Real 3rd Street Chicken House,NA,NA,4254 1/2 W 3rd St Los Angeles  CA 90020,34.0687698,-118.3070336
4,http://m.yelp.com/biz/wako-donkasu-los-angeles-2,328,Wako Donkasu,NA,NA,2904 W Olympic Blvd Los Angeles  CA 90006,34.0524652,-118.2976989
4,http://m.yelp.com/biz/baek-ha-chong-los-angeles,38,Baek Ha Chong,NA,NA,3929 W Olympic Blvd Los Angeles  CA 90019,34.0535975,-118.320056
3.5,http://m.yelp.com/biz/tofu-ya-los-angeles,815,Tofu Ya,NA,NA,2021 Sawtelle Blvd Los Angeles  CA 90025,34.0402401,-118.4432585
4.5,http://m.yelp.com/biz/kbq-korean-barbeque-long-beach,21,KBQ Korean Barbeque,NA,NA,,,
4.5,http://m.yelp.com/biz/grill-town-norwalk,67,Grill Town,33.920554,-118.072613,,33.920554,-118.072613
4,http://m.yelp.com/biz/101-korean-bbq-sushi-los-angeles-4,18,101 Korean BBQ+Sushi,NA,NA,11009 Burbank Blvd North Hollywood Los Angeles,34.1725716,-118.3706666
4,http://m.yelp.com/biz/seoul-sausage-company-los-angeles-2,917,Seoul Sausage Company,34.039517,-118.443003,11313 Mississippi Ave Los Angeles  CA 90025,34.0394395,-118.4429987
4.5,http://m.yelp.com/biz/da-jeong-korean-cuisine-los-angeles,14,Da Jeong Korean Cuisine,34.053753,-118.319925,3909 1/2 W Olympic Blvd Los Angeles  CA 90019,34.0537182,-118.3199156
4,http://m.yelp.com/biz/kogi-bbq-truck-pasadena,14,Kogi BBQ Truck,NA,NA,185 E Colorado Blvd Pasadena  CA 91105,34.1458175,-118.1469127
4,http://m.yelp.com/biz/redsoup-los-angeles-2,11,Redsoup,NA,NA,414 S Western Ave Koreatown Los Angeles,34.066604,-118.308705
4,http://m.yelp.com/biz/hong-dae-ip-gu-los-angeles,75,Hong Dae Ip Gu,NA,NA,3871 Wilshire Blvd Los Angeles  CA 90010,34.0619744,-118.3110732
4,http://m.yelp.com/biz/woori-gumi-restaurant-whittier-2,89,Woori Gumi Restaurant,33.9634864038519,-118.032476864755,,33.9634864038519,-118.032476864755
4,http://m.yelp.com/biz/feast-from-the-east-los-angeles,298,Feast From The East,34.047422,-118.4349697,1949 Westwood Blvd Los Angeles  CA 90025,34.047365,-118.4350891
4,http://m.yelp.com/biz/gu-jip-gardena,64,Gu Jip,NA,NA,15435 S Western Ave Gardena  CA 90249,33.8910568,-118.3097466
4,http://m.yelp.com/biz/peking-restaurant-downey,197,Peking Restaurant,NA,NA,,,
4,http://m.yelp.com/biz/tofu-love-la-crescenta-montrose,33,Tofu Love,NA,NA,3115 Foothill Blvd La Crescenta-Montrose  CA 91214,34.2288726,-118.2468023
4.5,http://m.yelp.com/biz/wooree-restaurant-los-angeles,5,WooRee Restaurant,NA,NA,2520 W 8th St Westlake Los Angeles,34.0568041,-118.2831183
4,http://m.yelp.com/biz/hwangs-restaurant-gardena,181,Hwang's Restaurant,NA,NA,,,
3.5,http://m.yelp.com/biz/seoul-house-of-tofu-los-angeles,379,Seoul House of Tofu,34.039431,-118.442629,2101 Sawtelle Blvd Los Angeles  CA 90025,34.0392026,-118.4426416
